Rank,City,Country,Country_Encoded,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,"Meal, Inexpensive Restaurant (USD)",Average Monthly Net Salary (After Tax),Air_Pollution_2023,Education,Taxation,Internet Access
1,The Hague,Netherlands,38,1.0912345635642218,1.3870630038987994,1.6002915405952585,0.29246147246544446,-0.856975278,-1.787247181,-1.556175149,0.7362534016115097,0.9512857053289909,0.6047175269520976,0.093177166,0.15627886353008338,-0.082659335,0.6820022229786659
2,Luxembourg,Luxembourg,35,2.121892442428357,0.8036019019049139,1.097363799031517,0.3909087952003526,-0.29076764,-0.939030607,-1.336925254,0.25438589,1.4549703578196247,1.0292832635506037,-1.141450025,-0.184897459,0.9775080741838836,0.12167510656813783
3,Eindhoven,Netherlands,38,1.1051623727380613,1.2689815904000366,1.3794939955184946,0.4018473866153426,-0.839817471,-1.344148971,-1.465266656,0.42303951927882544,0.8931467443311817,0.6625782056369743,-0.156778032,0.4755901979722372,-0.082659335,1.290107113408093
4,Rotterdam,Netherlands,38,1.0968056872337573,0.8174938329047675,1.6616241920054706,0.35262372524788815,-0.925606507,-1.546708153,-1.208583852,0.5736231165541548,0.7187298613377546,0.43355949806152677,-0.338563631,0.15627886353008338,-0.082659335,0.33110101601764363
5,Zurich,Switzerland,59,2.2695272196710565,1.2064679009006922,0.3245723912628432,2.4911183468783964,0.3440712275271518,0.37760407482083036,-1.187193618,0.18812910752931145,2.4494820079648396,2.460672231233121,-0.36128683,1.3860813027704717,0.6287052720687201,1.082273796425884
6,Copenhagen,Denmark,15,0.6678291646794959,1.0050349014028026,1.1709629807237727,1.1402023071271548,-0.462345712,-0.939030607,-1.352967929,0.3206426731316014,1.2973243289601812,0.7120361820425559,-0.49005163,0.5665567990633161,-0.028106094,1.0674096000644486
7,Vienna,Austria,2,0.3725596101940948,0.6994124194060056,1.4653597074927904,0.5167025964727353,0.30975561307962984,-1.559368102,-1.62034585,0.2061991392023508,0.6315214198410408,0.16316022518013779,-0.346138031,0.3823545886906781,-1.187724545,0.5012429779404994
8,Helsinki,Finland,18,0.333561745,1.0883864874019293,1.5144258286209609,0.6260885106226334,-0.016242724,-1.24286938,-1.812857953,-0.9382362,0.2826876538541865,0.26432186288217585,-0.724858028,0.6298827549249061,-0.119591397,-0.066516237
9,Geneva,Switzerland,59,1.4617142875883562,0.6577366264064417,0.4104381032371407,2.562219191,0.18965096251330366,-0.381992857,-1.123022917,0.25438589,2.4494820079648396,2.0034284481771687,0.37342996418977725,0.519113901,0.6287052720687201,1.6720638734814002
10,Frankfurt,Germany,21,1.1859436659463316,-0.411942061,1.1096303293135605,0.48388682222776613,-0.462345712,-1.432768613,-0.74334627,0.3808761120417331,0.369896095,0.5603113617582751,-0.315840431,0.5275711128814252,-0.59029414,-0.610386564
11,Stuttgart,Germany,21,1.2806527683284408,0.3937899374092076,1.1096303293135605,0.5112333007652407,-0.582450363,-0.774451272,-0.411797648,0.16403573196525845,0.10827077086075944,0.5264026956573131,-0.300691631,0.4632137896605261,-0.59029414,-0.055633521
12,Amsterdam,Netherlands,38,0.3474895536811836,0.7827640054051314,1.305894813826239,0.8120445646774604,0.069546312,-1.382128817,-1.176498502,0.5495297409901017,1.2419805103180357,0.7180148771577914,-0.38401003,0.9291855625964597,-0.082659335,-0.374682879
13,Reykjavik,Iceland,25,0.14414353974312463,1.1092243839017109,0.1160413764681213,1.588684555141737,-0.616765977,-1.761927283,-1.684516551,-0.576835567,0.9786781004144967,0.5565724727776558,-0.891494827,0.053348401071017244,-0.318976251,0.8033046825710922
14,Perth,Australia,1,1.1441602384248126,-0.106319579,0.43497116380122597,0.806575269,-0.925606507,0.921981876,-1.010724191,1.0434439400531819,0.831094584,1.0551674273582556,-0.686986028,0.5013743819549693,-0.25959529,-0.557565581
15,Austin,UnitedStates,65,1.8461218207863312,-0.071589751,0.14057443703220654,0.6534349891601079,-1.303078266,0.2636645350335885,-0.187200195,0.22426917087539014,1.0373760898834388,1.9272338883064042,-0.45217963,0.5723324562754482,-0.17100662,2.0280082899221945
16,Brisbane,Australia,1,0.9881687756778077,0.24097869641080863,0.8397666631086264,0.7135972419425523,-0.376556676,0.719422694,-0.967943723,1.1880041934374974,0.26759388513360144,0.9682676523401521,-0.876346027,0.8223359041720182,-0.25959529,-0.435997689
17,Abu Dhabi,UnitedArabEmirates,63,1.692915919874095,1.9705241058926861,0.42270463351918247,-0.041165566,-0.874133085,-0.280713266,0.016007024853025638,-2.076648195,-0.611198871,0.6799852029193858,2.4866875488363314,-0.679747518,2.352925628822086,-1.103028501
18,Melbourne,Australia,1,1.1998714751201713,-0.245238889,0.6557687088779897,0.7081279462350569,-0.565292555,0.8460221828350472,-1.021419307,0.9591171255789972,0.6046880532266674,0.98718549,-0.777878827,0.9458937138172703,-0.25959529,0.3541936067934446
19,Valencia,Spain,57,-0.440824446,0.6924664539060778,1.5512254194670878,-0.41854697,-0.59960817,-1.559368102,-1.160455826,0.9290004061239313,0.10827077086075944,-0.499322696,-0.315840431,0.13957071230927312,-0.594880475,2.0763169280968596
20,Seattle,UnitedStates,65,1.734699347395614,-0.95372737,0.47177075464735296,1.457421458161859,-0.994237736,1.0485813646790332,-0.786126737,0.8025101844126551,1.3727931725631064,2.2971840196749107,-0.43703083,0.7371449602930714,-0.17100662,-0.153047094
21,Tampa,UnitedStates,65,1.2806527683284408,-0.356374337,0.017909134211782068,1.2659961083995372,-1.371709495,0.13706504638109732,-0.754041387,0.3808761120417331,1.5405017139029402,1.7295136790529961,-0.535498029,0.14555264299326692,-0.17100662,1.0437861451328823
22,Gothenburg,Sweden,58,0.7096125922010149,-0.432779957,-0.043423517,0.3252772467104136,-0.445187905,-1.24286938,-1.454571539,-0.052804648,-0.064469027,0.22838502587191553,-0.724858028,0.3505884740239522,-1.147413079,0.5115948289779274
23,Adelaide,Australia,1,0.2667082604729134,0.5466011784076066,0.7661674814163724,1.1566101942496392,-0.513819134,0.048445404324353125,-1.192541177,1.0012805328160894,0.099885344,0.96327071,-0.868771627,0.5009618350112458,-0.25959529,-0.471300155
