City,Country,Predicted_Livability,Model_Score_0_1,Preference_Score_0_1,Final_Suitability_Score
Sydney,Australia,114.36584504038035,0.7598674727390462,0.6409383471735466,0.7122958225128464
Atlanta,UnitedStates,118.02974365339566,0.7846105281366801,0.5979527556971406,0.7099474191608643
Porto,Portugal,108.52327387249507,0.7204113967553738,0.679761601857349,0.7041514787961639
Auckland,NewZealand,112.50126726076707,0.7472755982995403,0.6148707264119972,0.694313649544523
Hamburg,Germany,111.67570944781096,0.7417004378332108,0.6148998791954933,0.6909802143781238
Calgary,Canada,115.5840565725382,0.7680943039398724,0.5700236027110549,0.6888660234483455
Cork,Ireland,111.47010003989358,0.7403119155219485,0.6076672970983302,0.6872540681525012
Stockholm,Sweden,109.27725087007006,0.725503157360667,0.6212153857147519,0.6837880487023009
Ljubljana,Slovenia,107.70066949536817,0.7148561814442066,0.6370313485927889,0.6837262483036395
Split,Croatia,104.54809630373161,0.6935662110152587,0.6286418340945704,0.6675964602469834
San Antonio,UnitedStates,106.00289621800071,0.7033907718651042,0.6092464024029971,0.6657330240802614
Tokyo,Japan,98.65774908851999,0.6537874936294809,0.6696876581210153,0.6601475594260946
Boston,UnitedStates,106.41503750420272,0.7061740461183609,0.5840878760329234,0.657339578084186
Brno,CzechRepublic,104.3148123563237,0.6919907968884628,0.5927952912879384,0.652312594648253
Cologne,Germany,99.1551117504517,0.6571462852328225,0.618882688634241,0.6418408465933899
Vilnius,Lithuania,97.08620386945225,0.6431745279002578,0.6389846367222756,0.6414985714290649
Edmonton,Canada,101.23859571278446,0.6712164778186527,0.56446676558819,0.6285165929264676
Doha,Qatar,103.33764997733661,0.6853918198343834,0.5384637448079665,0.6266205898238166
Ottawa,Canada,99.85473697803536,0.6618709972382779,0.5696972224634625,0.6250014873283518
Dubai,UnitedArabEmirates,102.17535894137819,0.6775426311617676,0.5372862548698457,0.6214400806449989
Zagreb,Croatia,94.89720774649624,0.628391790151155,0.5998608996359428,0.61697943394507
Berlin,Germany,93.39092361687281,0.6182195458834085,0.6091617040230584,0.6145964091392685
Houston,UnitedStates,95.59515952151264,0.6331052009897523,0.5791424203858391,0.611520088748187
Wellington,NewZealand,94.62186207806971,0.6265323246345126,0.5885452121124393,0.6113374796256832
Vancouver,Canada,92.77111694688,0.6140338648940447,0.6050245396181904,0.6104301347837029
Taipei,Taiwan,85.84159648771612,0.5672373984222218,0.674190759267957,0.6100187427605159
Victoria,Canada,91.80876854238882,0.6075349296343286,0.5879866383965867,0.5997156131392318
Prague,CzechRepublic,90.84879230783736,0.6010520141225452,0.5667927400855739,0.5873483045077567
San Francisco,UnitedStates,88.81478965662525,0.5873159789333899,0.5419648115406644,0.5691755119762998
Cluj-Napoca,Romania,78.68613264155736,0.5189150901268059,0.6123379861349396,0.5562842485300594
Pune,India,82.58062136239143,0.5452153676024847,0.5712339919493336,0.5556228173412242
Singapore,Singapore,79.6083770057059,0.5251431946139831,0.5982876718011442,0.5544009854888475
Washington,UnitedStates,83.84534679474406,0.5537563166681424,0.5541750290735895,0.5539238016303213
Timisoara,Romania,75.10371485992738,0.49472229141958657,0.6412935664320378,0.553350801424567
Riyadh,SaudiArabia,88.64693774618245,0.5861824407115811,0.5027947722819802,0.5528273733397407
Denver,UnitedStates,85.62522802039969,0.5657762179861436,0.5308135357077404,0.5517911450747823
Halifax,Canada,83.35788832596768,0.5504644101033334,0.5536076209976611,0.5517216944610646
Jeddah,SaudiArabia,86.20965189600373,0.5697229517408395,0.5189464851032556,0.5494123650858059
Phoenix,UnitedStates,81.2618913389883,0.5363097145072608,0.5503210270446562,0.541914239522219
Lisbon,Portugal,69.59919878220532,0.4575491704810258,0.637473822773115,0.5295190313978615
Cape Town,SouthAfrica,76.71529200215262,0.5056056008992731,0.5431726613891575,0.5206324250952269
Miami,UnitedStates,75.90320451424701,0.500121408288267,0.5497652152830919,0.519978931086197
Montreal,Canada,74.47971322371502,0.4905082809668492,0.5448628498956947,0.5122501085383874
Las Vegas,UnitedStates,79.08085761198004,0.5215807484436881,0.49023712507237943,0.5090432990951645
Toronto,Canada,71.13862896191158,0.46794525679246274,0.565216640105314,0.5068538101176032
Bangalore,India,72.2709254678125,0.4755918862795699,0.5475311310831745,0.5043675842010118
Tel Aviv-Yafo,Israel,73.4891694015983,0.4838189362952051,0.531037042679121,0.5027061788487714
Manchester,UnitedKingdom,68.71461276757266,0.4515753805168938,0.5784388497972952,0.5023207682290544
Riga,Latvia,67.42516429513982,0.44286747171383245,0.5541372754648997,0.4873753932142594
Poznan,Poland,64.90739535892344,0.4258644640307202,0.5785326454291015,0.4869317365900727
Bratislava,Slovakia,68.59708104860842,0.4507816648220923,0.540519702789987,0.48667688000925013
Brussels,Belgium,59.467326229908636,0.3891265664950144,0.6114418285346085,0.47805267131085205
Gdansk,Poland,64.81018893055837,0.4252080091731816,0.5504719796711597,0.4753135973723728
Warsaw,Poland,62.000391546244025,0.4062328737561563,0.5779535821124415,0.4749211570986704
Hyderabad,India,63.82417961435915,0.4185492869458156,0.5511373732477503,0.47158452146658947
Barcelona,Spain,55.14422563299936,0.3599317855098389,0.6173925561626017,0.462916093770944
Seoul,SouthKorea,54.35730894237141,0.35461757643201014,0.617927403811669,0.4599415073838737
Nizhny Novgorod,Russia,56.565741640763186,0.36953157334342673,0.593296562995226,0.4590375692041465
Wroclaw,Poland,56.52458748178737,0.36925365090535367,0.5719713872858609,0.4503407454575566
Dublin,Ireland,60.509250733327285,0.3961628953979649,0.5222088991787506,0.44658129691027915
Chicago,UnitedStates,62.34825518260294,0.4085820679163537,0.5031111477794604,0.4463936998615964
Pretoria,SouthAfrica,60.576028089574564,0.3966138565187406,0.5006092646354645,0.43821201976543017
Izmir,Turkey,51.276520294731284,0.33381238168503347,0.5799636694917178,0.4322728968077072
Varna,Bulgaria,52.16900096397952,0.33983948586364854,0.5522467979530711,0.4248024106994176
Limassol,Cyprus,57.941986656309695,0.37882563692352134,0.48734453112400217,0.42223319460371367
London,UnitedKingdom,49.18495485902438,0.3196876132595007,0.5662118481709473,0.4182973072240793
Krakow (Cracow),Poland,49.07493255488736,0.31894461017623654,0.5643605973321909,0.4171110050386183
Durban,SouthAfrica,53.80795585699074,0.35090768288415114,0.49355391696682,0.40796617651721867
Los Angeles,UnitedStates,45.2750265833845,0.29328306931789994,0.5419900801565357,0.39276587365335425
Montevideo,Uruguay,47.711495408101015,0.309737040748882,0.5021726912876899,0.3867113009644052
Turin,Italy,43.773771932407996,0.2831447901463327,0.534111984616472,0.3835316679343884
Rome,Italy,41.99576781838841,0.2711375653464625,0.5421401121278379,0.37953858405901264
Winnipeg,Canada,49.22471969973834,0.31995615334769206,0.46472262276174825,0.3778627411133145
Hong Kong,HongKong(China),37.149638172981284,0.23841066240911768,0.5819496253251862,0.3758262475755451
Curitiba,Brazil,41.7757869658034,0.2696519897351193,0.5241555444636208,0.3714534116265199
Ankara,Turkey,38.297095358375934,0.2461596750602257,0.5449455830750047,0.3656740382661373
Paris,France,32.25170538581853,0.2053339222787682,0.5992540358070899,0.3629019676900969
Johannesburg,SouthAfrica,46.11862274998963,0.29898004646934034,0.4568737888177939,0.3621375434087218
Sofia,Bulgaria,40.70475319189036,0.26241907998523467,0.5099998069304607,0.36145137076332506
Budapest,Hungary,35.70643988967819,0.22866444974190886,0.5198118233855463,0.34512339919936386
New York,UnitedStates,34.499766168432146,0.2205155357338631,0.5151131812318922,0.33835459393307477
Brasilia,Brazil,37.56771948412878,0.24123405086361546,0.48219892202069564,0.33761999932644754
Chennai,India,31.444510767141452,0.19988277221264722,0.5292330644243489,0.3316228890973279
Novi Sad,Serbia,34.446927487294985,0.22015870533198725,0.48297741894329893,0.3252861907765119
Kuwait City,Kuwait,39.61566644104443,0.2550642547962176,0.4206348907285139,0.3212925091691361
Islamabad,Pakistan,30.170211607554855,0.19127716981229562,0.5062964467055182,0.31728488056958465
Gurgaon,India,30.753389259386225,0.19521548756341112,0.5002316085287789,0.3172219359495582
Bucharest,Romania,26.406867650058043,0.1658625396994658,0.5366770588441199,0.3141883473573274
Lviv,Ukraine,27.288306978089135,0.17181507944651347,0.49691202088002984,0.30185385601992
Beijing,China,17.76111447506642,0.10747600329172571,0.5678109217484909,0.2916099706744318
Monterrey,Mexico,23.83934090409626,0.14852350736801256,0.5057301841347387,0.29140617807470304
Moscow,Russia,22.51234777448111,0.13956205182944742,0.5182504437249915,0.2910374085876651
Kuala Lumpur,Malaysia,25.31292015876053,0.1584748889377541,0.48788486798133424,0.29023888055518615
Ahmedabad,India,22.331999598310684,0.1383441237737978,0.513123186722955,0.2882557489534607
Sarajevo,BosniaAndHerzegovina,26.59156625820383,0.16710984711047955,0.46907655349279986,0.2878965296634077
Minsk,Belarus,28.935362720069183,0.18293798315406565,0.4440210104927324,0.2873711940895324
Medellin,Colombia,17.396759925388054,0.10501544262690632,0.5562461136326668,0.2855077110292105
Guadalajara,Mexico,21.219137661678726,0.13082873990095056,0.5163633035444228,0.2850425653583395
Amman,Jordan,20.746002037035826,0.12763355842689253,0.4838726644642152,0.2701292008418216
